@relation treino-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.9,1046,-200,9.5,960,189,671,96,1637,899,23.7,55.4,16031
1.3,953,-200,7,858,136,742,79,1544,780,22.8,58.5,15992
0.7,864,-200,3.3,673,83,947,61,1412,636,22.8,58.5,15985
0.5,829,-200,2.6,628,-200,994,-200,1378,577,22.3,59.7,15889
0.5,838,-200,2.8,639,72,963,48,1391,596,20.8,64.9,1571
0.6,913,-200,4.3,728,121,802,63,1418,887,19.7,66.8,15184
1.3,1039,-200,8.5,921,268,687,92,1556,1115,19.8,64.3,14678
3.6,1252,-200,20.9,1320,451,499,99,2001,1374,20.6,62.3,14915
4.9,1410,-200,35.2,1669,458,393,117,2555,1644,23.2,54,15143
3.9,1217,-200,18.7,1261,487,533,142,1941,1375,26.3,43.1,14542
2.2,1114,-200,12.8,1077,319,633,121,1705,1199,29.1,35.4,14008
1.9,1026,-200,11.2,1020,269,689,122,1603,992,30,31.6,13176
2.2,1051,-200,13.3,1094,224,646,108,1675,966,32.4,26.3,12594
2,1027,-200,11.3,1024,162,700,80,1588,814,31.3,29.1,13054
1.7,996,-200,10.4,992,189,722,93,1580,727,31.1,28.6,12718
2,1028,-200,12.3,1060,213,686,108,1601,806,33.3,24.4,1232
2.1,1030,-200,12.3,1060,245,705,118,1588,852,35.5,21.2,12022
3.2,1133,-200,19.4,1280,341,595,149,1791,1093,34.6,22,1189
4,1180,-200,21.5,1339,382,567,171,1868,1211,33.3,23.6,11842
4.4,1261,-200,25.7,1446,358,528,154,2061,1346,30,28.5,11896
3,1093,-200,14.5,1133,288,599,122,1708,1200,28,33,12264
2.2,1068,-200,11.4,1029,252,650,126,1612,1192,27.2,37.4,13279
1.7,1031,-200,9.5,958,201,700,121,1560,1074,26.6,39.9,13657
1.9,1055,-200,11.6,1037,225,635,125,1632,1161,25.3,41.7,13247
2,1060,-200,11.4,1029,242,622,126,1663,1210,24.3,44.7,13432
1.5,962,-200,7.5,880,167,726,96,1484,1050,24.4,45.6,13779
0.8,874,-200,5.3,776,99,846,73,1416,873,23.1,49.9,13891
0.6,832,-200,3.1,661,-200,977,-200,1312,766,22.7,51.3,13977
0.6,834,-200,4,709,87,907,65,1348,835,21.8,54.1,14004
0.7,865,-200,4.6,745,164,866,90,1394,901,21,56.9,13999
0.8,903,-200,5.8,803,87,819,58,1471,853,21.8,55.5,14323
2.9,1236,-200,20,1297,93,542,27,1997,1321,21.6,57.2,14607
5.2,1464,-200,30,1552,417,419,67,2366,1738,22.8,54.2,14886
3.3,1258,-200,18.7,1261,406,514,96,1940,1603,26.2,45,15098
-200,1203,-200,15.8,1174,-200,577,-200,1824,1426,30.8,34.8,15165
-200,1156,-200,14.3,1127,-200,616,-200,1767,1295,34.1,28.8,15105
-200,1106,-200,14.4,1130,-200,623,-200,1726,1093,35.9,24.7,1437
-200,1008,-200,11.6,1037,-200,697,-200,1587,803,33.7,25.1,12915
-200,1011,-200,11.1,1017,-200,704,-200,1569,738,34.4,24,1279
-200,1049,-200,13.5,1100,-200,667,-200,1635,870,36.4,20.3,1214
-200,1053,-200,13.7,1108,-200,694,-200,1570,873,38.7,17.3,11729
-200,1088,-200,15.3,1159,-200,666,-200,1626,889,37.2,18.9,11774
-200,1248,-200,26,1454,-200,550,-200,1917,1599,36.1,20,11767
-200,1374,-200,28.6,1517,-200,490,-200,2069,1704,32.8,29.4,14344
-200,1213,-200,17,1210,-200,572,-200,1809,1424,30,35.9,14958
-200,1108,-200,12,1051,-200,640,-200,1616,1199,28.7,38.2,14794
-200,1071,-200,10.1,982,-200,649,-200,1557,1099,28.1,40.4,1512
-200,1044,-200,9.7,967,-200,672,-200,1540,1133,27.4,41.4,14877
-200,1045,-200,9.6,964,-200,666,-200,1554,1140,26.4,44,14919
-200,1004,-200,8.5,921,-200,699,-200,1495,1092,24.9,47.9,14855
-200,944,-200,5.7,796,-200,784,-200,1407,1021,24,50.3,1476
-200,868,-200,3.1,657,-200,921,-200,1356,764,25.2,47.9,15129
-200,850,-200,2.7,632,-200,954,-200,1316,803,24.2,50.6,15011
-200,873,-200,3.3,668,-200,911,-200,1354,744,23.1,55,15357
-200,905,-200,5.1,766,-200,842,-200,1438,818,22.9,56.2,15522
-200,1249,-200,18,1239,-200,540,-200,1953,1285,22,59.3,15523
-200,1488,-200,34.5,1653,-200,388,-200,2537,1782,23.7,54,15627
