@relation 'teste 10-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
2.1,1153,-200,6.9,853,407,696,217,1027,1370,4.2,54,0.4483
-200,1268,-200,8.5,918,-200,873,-200,1602,1029,18.7,50.4,10772
-200,1233,-200,14.9,1144,-200,575,-200,1436,1271,13.1,54.3,0.8167
3.3,1452,283,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.8231
2.9,1329,375,16.2,1185,140,768,121,1750,1111,28.4,26,0.9922
-200,1632,-200,31.5,1587,-200,523,-200,2459,1678,14.7,62.3,10351
-200,1354,-200,24.5,1418,-200,749,-200,2043,1629,21.8,35,0.9002
0.5,785,-200,2.8,640,35,1265,40,1467,588,19.6,57.1,12851
5.6,1544,-200,25.7,1446,987,1070,171,1834,1679,12.7,77.1,11251
3.2,1430,-200,14.1,1121,178,814,135,1732,1322,16,48.4,0.8768
-200,848,-200,2.8,639,-200,1057,-200,929,574,9.8,45.2,0.5489
1.8,1238,-200,11.6,1037,113,813,91,1698,978,25.6,32.5,1053
-200,879,-200,2.1,594,134,1119,98,839,792,2.5,54.1,0.4017
4.7,1299,-200,18.5,1254,698,566,161,1662,1488,15.9,63.4,11349
-200,1123,-200,8.9,937,-200,866,-200,1606,941,13.8,59.8,0.9398
1.3,1053,-200,3.5,680,166,890,108,1166,807,11.3,80.1,10741
4,1411,-200,19.7,1288,887,492,306,1472,1638,2.3,70.9,0.5182
-200,1160,-200,7.1,860,-200,969,-200,1531,646,25.6,32.1,10393
0.7,893,48,2,587,46,1368,58,1219,433,10.7,58.2,0.7459
1.8,1105,-200,11.4,1027,85,684,85,1758,1040,28.6,42.3,16251
1.4,1032,-200,4.6,744,87,813,79,1695,778,25.4,68,21806
1.2,-200,-200,-200,-200,59,-200,67,-200,-200,-200,-200,-200
-200,1038,-200,8.6,925,-200,746,-200,1534,714,35.6,22.6,12984
2.9,1251,-200,13.4,1097,181,771,143,1680,1280,22.2,34.4,0.9072
0.5,824,-200,3.8,698,-200,1107,-200,1517,733,22,50.5,13199
2.9,1261,-200,15.3,1158,122,628,120,1837,1303,31.2,33.2,14831
1.9,1049,-200,8,898,153,858,113,1671,921,29.9,33.2,13793
-200,918,-200,7.1,863,-200,992,-200,1408,539,19.8,33.6,0.767
2.5,1043,-200,12.5,1066,161,789,114,1692,1014,20.2,37.7,0.8833
2.3,1142,-200,11.6,1035,100,746,112,1611,1062,27.9,27.6,10252
1.5,1049,-200,9.5,958,98,794,104,1648,861,23.7,43.4,12495
1.2,945,-200,4.8,755,50,935,68,1553,663,26,48,15882
-200,1263,-200,19.5,1283,193,610,174,1863,1400,34.3,24.2,12857
-200,1345,-200,10.5,996,-200,841,-200,1678,833,24.4,36,1085
1,1020,-200,7.2,866,92,847,83,1636,744,26.9,40.3,14041
0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978
0.4,734,-200,0.8,478,51,2294,39,805,378,11.7,38.1,0.5223
-200,1438,-200,13.4,1096,-200,781,-200,1779,1266,23.3,35.8,10098
4.5,1507,-200,19.8,1292,1017,479,227,1379,2110,7.3,50.8,0.5226
-200,1050,-200,9.6,963,-200,998,-200,1609,901,24.3,35.1,10477
1.1,955,-200,5.1,766,58,898,58,1597,620,37.1,30.5,18962
2.2,838,-200,3.8,699,152,1015,89,944,546,9.4,44.9,0.5296
2.6,1175,-200,13.9,1112,350,628,110,1484,1212,16.5,54.6,10164
-200,1030,-200,6.8,848,77,734,71,1691,1048,21.8,74.1,1915
1.8,1111,-200,7.7,887,244,720,92,1262,1132,14.6,60.6,10033
0.8,863,-200,1.5,545,86,1119,78,749,484,4.3,38.1,0.3207
0.6,857,-200,1.7,562,78,1140,54,1130,646,11.9,79.6,11043
-200,957,-200,3.9,705,-200,857,-200,1578,843,22.8,63.7,17392
0.4,814,-200,0.6,449,54,1363,50,674,328,3.7,37.5,0.3012
-200,1110,-200,6.9,855,-200,897,-200,1568,943,16.3,57.2,10492
2.2,1175,-200,16.3,1188,213,790,137,1901,1251,20.9,43.6,10683
1.7,-200,-200,-200,-200,294,-200,122,-200,-200,-200,-200,-200
1.6,1045,138,7,857,92,968,93,1410,922,15.3,41.5,0.7194
4,1330,-200,14.7,1140,195,759,131,1780,1062,20.7,42.8,10298
1.6,1100,-200,9.4,954,87,809,106,1512,1360,40.1,14.9,10828
1.3,984,-200,5.6,795,63,838,78,1570,676,25.4,54.6,17483
1.8,1079,-200,11.1,1020,89,754,92,1760,1014,29.7,33.9,13874
-200,989,-200,10.7,1004,123,818,119,1577,783,32.4,22.4,10701
1.8,943,-200,4.1,714,191,898,131,868,609,10.3,32.9,0.4131
4.8,1596,-200,21.6,1341,830,436,162,1672,1991,9.1,67.5,0.7831
-200,1387,-200,22.4,1361,-200,701,-200,1932,1505,22,34.8,0.908
3,1216,-200,11.7,1039,443,685,132,1183,1378,8.6,54.3,0.606
-200,766,-200,0.7,470,-200,1317,-200,810,404,8.5,44.8,0.498
-200,1101,-200,13.3,1093,-200,1012,-200,1564,1155,21.1,30.9,0.7617
2.4,997,-200,13.5,1100,157,896,106,1392,987,22.6,17.2,0.4656
1.2,919,-200,5.7,799,29,844,50,1409,881,22.2,43.1,11396
3.2,1153,-200,18.5,1253,289,815,155,1541,1381,28.3,9.9,0.3754
2.1,1070,-200,10,976,130,808,108,1688,819,34,25.6,13363
0.9,914,-200,3.1,655,107,949,77,949,742,1.6,74.3,0.5168
-200,1264,-200,18.1,1244,235,584,167,1972,1496,32.2,32.6,15412
0.2,863,-200,2.5,622,97,1025,74,826,574,4.1,42.1,0.3487
-200,925,-200,4.2,721,-200,969,-200,1317,484,36.1,20.7,12151
-200,831,-200,1,498,50,1237,48,855,443,5.8,59.5,0.5519
0.5,841,-200,1.9,578,11,1144,16,1464,463,27.7,52.5,1923
0.8,971,-200,4.2,722,39,876,35,1624,687,25,60.7,1892
-200,1094,-200,10.5,996,76,876,53,1807,864,27.2,42.5,15135
2.2,1021,-200,7.6,882,305,727,137,1097,847,11.5,42.1,0.5706
-200,-200,-200,-200,-200,286,-200,121,-200,-200,-200,-200,-200
4.7,1470,-200,25.8,1450,677,481,182,1706,2015,14,53,0.8451
3.5,1210,-200,9.2,947,457,697,121,1404,1060,13.9,76.7,12098
2.1,1202,-200,9.5,958,302,732,92,1330,1181,16,58.1,10482
0.6,877,-200,3.1,658,41,1047,46,1530,779,21.2,60.9,15092
2.5,1086,-200,14.9,1145,154,737,125,1717,1426,30.4,23.2,0.9889
-200,815,-200,1.8,569,-200,1361,-200,1344,534,14.4,60.1,0.9797
-200,1297,-200,10.7,1003,-200,798,-200,1700,1177,16.9,54.8,10455
-200,1038,-200,9.6,961,-200,1026,-200,1530,949,19.4,38.1,0.8511
-200,826,-200,3.8,698,-200,1017,-200,1331,542,25.7,36.9,11991
1.5,1128,117,7.8,891,88,838,89,1574,1125,17.4,55.6,10963
2,1008,-200,7.1,861,331,839,160,977,943,8.3,38.5,0.4228
0.5,909,26,1.8,567,33,1542,47,1287,418,9.6,75.4,0.9004
1.6,1046,-200,8,901,69,849,94,1464,722,37.4,17,10757
-200,767,17,0.6,454,10,1826,17,1091,319,14.1,43,0.689
4.1,1239,-200,19.1,1272,214,748,144,1790,1380,25.2,24.3,0.7671
-200,951,-200,7.8,892,-200,1015,-200,1611,786,23,43.1,11993
0.6,861,-200,1.2,518,-200,1141,-200,738,482,3.9,39.9,0.325
1.4,942,98,6.9,852,89,1055,89,1318,540,21.4,22.7,0.5722
0.3,757,-200,2.2,596,30,1236,37,1381,560,19,52.8,11489
3.4,1349,-200,17.9,1236,275,627,125,1964,1530,20.9,44.6,10872
2.9,1111,-200,14.3,1126,160,754,124,1883,1076,27.3,37.5,1342
-200,1059,-200,8.4,914,-200,697,-200,1617,895,26,47.6,15806
3.3,1364,-200,16.7,1202,198,771,135,1875,1250,16.3,47.1,0.864
-200,1074,-200,9,939,-200,1071,-200,1513,997,25.6,28,0.9088
1.3,1065,-200,6.1,816,215,777,90,1245,873,10.8,80,10367
1,781,-200,3.9,704,183,1062,92,842,594,16.6,19.9,0.3728
0.6,810,-200,0.7,470,41,1315,40,863,412,7.8,54.2,0.5755
3.6,1428,-200,19.7,1288,487,465,146,1580,1629,13.2,61.8,0.9313
2.8,1171,268,12.4,1064,160,881,110,1639,1097,16,42.4,0.7674
3.9,1380,-200,22.3,1359,239,538,120,2337,1617,26.6,51.2,17565
-200,883,-200,5.4,782,-200,958,-200,1395,571,27.3,31,1111
1.9,1085,-200,12.2,1057,103,689,139,1775,836,32.8,32.2,15779
-200,967,-200,4.8,753,-200,1048,-200,1420,544,17.8,46.7,0.9466
3.5,1173,-200,17.2,1217,202,695,139,1930,1175,26.5,35,11981
3.1,1383,245,13.8,1109,174,832,97,1706,1173,11,57.3,0.7501
2.1,1309,-200,8.9,937,122,905,97,1672,1036,15.9,57.7,10356
6.6,-200,-200,-200,-200,1237,-200,229,-200,-200,-200,-200,-200
1.3,1113,-200,5.2,776,193,828,114,1217,881,12,72.3,10095
-200,996,-200,7.3,868,69,957,51,1741,857,20.8,64.8,1568
-200,927,-200,5.2,774,-200,883,-200,976,755,8.6,45.1,0.5038
0.2,719,-200,1.2,522,24,1385,40,1343,509,19.8,50.3,11444
3.1,1181,-200,18.5,1255,332,632,106,2002,1334,18.2,55.8,11529
1.5,961,-200,10.2,985,115,845,139,1554,677,32.4,19.1,0.915
1.8,1182,-200,12,1051,211,829,89,1870,1206,19.6,66.7,15023
-200,1132,-200,14.1,1121,-200,611,-200,1757,906,32.3,30.2,14347
1.5,962,-200,6.6,841,252,827,158,901,821,11.5,22.1,0.2987
0.9,923,-200,3.2,664,177,988,67,1121,822,11.8,71.8,0.9909
2.3,1089,-200,8.4,916,293,710,152,1124,903,12.3,38.4,0.5488
2.4,-200,160,-200,-200,175,-200,102,-200,-200,-200,-200,-200
1.2,1019,-200,6.7,842,70,935,73,1565,729,37.2,20.5,12813
0.8,986,-200,3.4,674,-200,883,-200,1137,730,13.6,62.2,0.9643
1.6,-200,-200,-200,-200,72,-200,77,-200,-200,-200,-200,-200
-200,768,-200,2.1,591,24,1183,37,1402,606,20.8,50.3,12207
2.6,1090,-200,10.1,981,279,1513,113,1390,1044,11.8,76.1,10544
1.1,967,-200,6.3,826,68,821,61,1639,822,24,57.2,16835
-200,1135,-200,11.4,1030,-200,662,-200,1789,1104,31.7,36.7,16843
0.8,978,66,2.7,635,36,1188,51,1382,579,15.9,57,10224
0.5,853,-200,1.7,557,24,1215,31,1435,454,24.9,54.8,17063
0.6,871,-200,2.8,639,21,1062,35,1528,684,23.7,53.5,1546
-200,899,-200,2.1,591,-200,1243,-200,1259,815,10.7,62.3,0.7988
3.5,1501,-200,12.6,1071,185,823,119,1744,1130,17.8,48.1,0.9689
-200,744,-200,0.1,383,17,1881,17,720,253,2.7,53.9,0.4062
0.6,912,-200,6.2,819,65,1224,77,1368,589,30.3,17,0.7232
4,1303,-200,40.2,1776,-200,946,-200,1467,1608,20.4,35.7,0.844
0.4,820,-200,2.2,597,18,1069,29,1346,603,24.3,48.3,14449
0.6,869,-200,2.4,614,-200,1001,-200,1565,674,25.6,63.5,20566
-200,1598,-200,35.2,1668,-200,490,-200,2617,1749,16,57.3,10342
0.7,874,-200,3.6,686,36,1032,48,1402,501,38.9,20.3,1382
1.7,1027,-200,10.1,981,120,817,108,1631,1023,28.2,28.7,10806
2.7,1100,-200,9.9,974,420,728,130,1131,1208,9.4,48.7,0.5748
0.5,841,-200,4,713,73,1326,68,1330,525,19.2,39.7,0.8728
1.5,970,-200,6.2,819,224,923,101,959,926,5,48.8,0.429
-200,892,-200,4.1,719,-200,918,-200,1019,635,12,44,0.6169
0.8,-200,-200,-200,-200,44,-200,55,-200,-200,-200,-200,-200
2.9,1277,-200,15.1,1153,493,543,253,1268,1520,6.6,43.7,0.4273
1.9,-200,-200,-200,-200,104,-200,109,-200,-200,-200,-200,-200
