Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
23/12/2004,12.00.00,3.8,1228,-200,15.9,1178,693,621,193,1202,1628,8,38.3,0.4133
08/08/2004,03.00.00,0.9,886,-200,4.6,744,-200,869,-200,1590,700,24.1,61.8,18339
09/04/2004,14.00.00,2.2,-200,159,-200,-200,176,-200,119,-200,-200,-200,-200,-200
06/04/2004,12.00.00,2.6,1369,304,14.5,1132,136,715,91,1818,1162,20.9,36.6,0.8939
19/01/2005,18.00.00,1.8,1021,-200,7.6,883,234,766,130,1139,846,8.9,54.4,0.62
14/06/2004,04.00.00,-200,724,-200,0.5,448,12,1917,18,1256,346,19.1,50.7,1109
02/05/2004,16.00.00,1.1,1018,-200,5.5,790,69,1047,67,1443,580,25.9,28.1,0.9258
15/03/2004,13.00.00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096
14/02/2005,17.00.00,1.4,940,-200,6.4,829,209,823,140,901,716,13.6,22.7,0.3529
03/01/2005,18.00.00,3.9,-200,-200,-200,-200,604,-200,177,-200,-200,-200,-200,-200
13/04/2004,06.00.00,1.6,1124,163,6.9,853,149,960,99,1531,873,10,68.7,0.8456
26/01/2005,23.00.00,0.2,905,-200,2.5,620,120,986,90,904,598,4,56.8,0.4688
29/05/2004,10.00.00,0.7,862,-200,4.2,721,72,1329,66,1335,522,20.8,36.6,0.8878
02/04/2004,13.00.00,3,1297,461,16.1,1183,159,765,130,1773,1242,23.6,31.3,0.9001
06/02/2005,10.00.00,1.3,984,-200,4.3,727,197,891,137,908,913,4.1,42.9,0.3551
17/02/2005,03.00.00,1,993,-200,3.6,688,-200,847,-200,874,931,5.8,42.9,0.399
05/02/2005,10.00.00,1.3,966,-200,4.9,760,302,877,200,890,940,7.5,39.2,0.4091
24/06/2004,16.00.00,1.4,999,-200,8,899,62,869,74,1629,637,35.8,22.4,12915
23/08/2004,06.00.00,-200,809,-200,3.8,701,-200,997,-200,1384,649,21.1,51.6,12784
17/12/2004,10.00.00,5,-200,-200,-200,-200,937,-200,164,-200,-200,-200,-200,-200
02/04/2004,06.00.00,1.1,1067,93,4.3,727,91,1055,82,1448,903,11.4,71.8,0.9671
29/03/2004,00.00.00,0.9,888,40,2.2,598,46,1396,58,1156,417,10.6,48,0.6135
10/02/2005,18.00.00,4.2,-200,-200,-200,-200,534,-200,209,-200,-200,-200,-200,-200
18/08/2004,08.00.00,-200,1040,-200,11.2,1022,-200,713,-200,1624,998,27.3,36.8,13189
01/07/2004,20.00.00,3.4,1193,-200,16.5,1196,195,675,149,1888,1152,30.9,30.4,1338
08/07/2004,13.00.00,1.3,1076,-200,9.9,972,111,819,109,1525,923,41.8,15,11989
11/03/2004,05.00.00,0.7,1066,8,1.1,512,16,1918,28,1182,422,11,56.2,0.7366
31/03/2004,04.00.00,0.5,851,18,0.8,477,15,1699,26,1064,343,14.5,36.1,0.5928
17/02/2005,22.00.00,2.1,1078,-200,6.3,824,265,759,169,1016,982,6.9,48.2,0.4832
10/06/2004,21.00.00,2.4,1056,-200,12,1051,163,826,116,1758,1078,27.5,32.6,1176
02/02/2005,16.00.00,1.8,1010,-200,9,940,329,759,124,960,1027,14.5,18,0.2956
15/03/2004,02.00.00,1.8,1224,66,7,855,108,998,88,1566,1149,13.4,61.3,0.9361
15/03/2004,01.00.00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14,57,0.9094
