@relation 'teste 02-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
4.9,1557,-200,25.1,1432,1022,445,234,1605,2068,5.5,66.1,0.601
0.7,888,-200,3.5,683,66,1196,62,1483,563,20.3,49.3,11596
0.7,818,-200,4.3,726,38,921,43,1330,685,19.6,56.1,12651
2.8,1245,-200,16.7,1202,223,628,136,2039,1622,28.4,40.4,15442
4.4,1287,-200,24.7,1423,311,610,116,2319,1482,20.9,49.3,12049
0.8,741,-200,2.3,607,128,1312,73,865,433,11.3,32.3,0.4329
-200,944,-200,6,814,-200,852,-200,1489,554,37.2,23.6,14764
0.9,867,-200,3.3,669,271,1069,119,981,779,10.1,44,0.5434
5.6,1562,-200,26.1,1458,1056,458,197,1770,2021,12.4,64.8,0.931
1.1,-200,-200,-200,-200,155,-200,92,-200,-200,-200,-200,-200
-200,892,-200,7.8,889,87,909,92,1383,597,33.9,16.2,0.8454
3,1246,-200,16.6,1197,429,566,119,1746,1278,21.9,61.8,16021
-200,1393,-200,21.6,1340,-200,529,-200,2080,1500,23.2,68.4,19243
3.8,-200,-200,-200,-200,540,-200,289,-200,-200,-200,-200,-200
2.7,1222,-200,14.5,1133,282,624,96,1698,1195,24.9,49.2,15251
1.3,1043,-200,6.7,843,64,799,68,1628,689,37.8,26.3,16951
3.3,1253,-200,16,1179,421,573,210,1268,1387,8.5,39,0.4336
-200,1278,-200,12.1,1053,-200,630,-200,1641,1153,25.8,47.8,15662
1.2,895,-200,3.4,677,143,999,111,827,700,3.7,46,0.3701
-200,1043,-200,8.9,934,61,929,47,1707,811,31.4,31.2,14127
4.5,-200,-200,-200,-200,1015,-200,210,-200,-200,-200,-200,-200
4.6,1339,-200,30.4,1561,366,498,145,2357,1791,22.1,41.7,1098
1.1,1024,-200,6.3,828,46,936,52,1601,641,29.1,35.1,13919
1.9,1134,-200,11.1,1017,144,689,115,1774,964,32.7,36.9,17953
1.1,893,-200,6.3,828,169,988,81,1357,672,23.2,42.8,12017
4.8,1422,-200,22.4,1362,920,775,214,1509,1956,12,45.9,0.6421
2.5,1058,-200,4.8,753,210,764,121,986,1149,3.3,66.8,0.5215
1.7,-200,-200,-200,-200,294,-200,122,-200,-200,-200,-200,-200
1.2,932,-200,4.5,740,167,926,92,1180,774,12.9,69.9,10371
5.1,1482,-200,24,1404,634,463,134,1883,1657,16.5,71.7,13358
-200,752,-200,4,713,-200,1163,-200,1144,435,37.3,10.9,0.6846
0.9,1009,-200,7.4,875,81,797,61,1738,1060,26.4,53.1,17987
-200,786,-200,2,587,-200,1150,-200,1300,413,25.3,44.3,14032
-200,1428,-200,23.6,1393,-200,490,-200,1976,1608,21.2,61.7,15309
3.1,1372,-200,18.4,1251,475,609,138,1890,1588,25.4,53,16963
3,1410,-200,11,1015,406,594,136,1319,1769,9.8,68.6,0.8324
0.9,987,-200,6.2,820,-200,772,-200,1400,935,25.4,45.9,14684
4.8,1315,-200,22.9,1375,845,526,137,1576,1549,6.7,72.6,0.718
1.1,1011,-200,6.1,816,33,830,35,1614,680,36.9,30.9,18934
0.6,982,-200,4.7,750,84,893,85,1417,881,22.6,31,0.8372
1.9,1100,-200,8.5,919,339,678,194,1072,1191,0.6,65,0.4231
4.5,1522,-200,22.5,1365,841,464,189,1526,2104,10.2,53.1,0.6608
-200,1008,-200,9.7,968,-200,783,-200,1348,1000,17.3,50.3,0.9837
0.8,722,-200,3.3,671,133,1596,68,737,448,14.3,18.4,0.2991
1,912,-200,7,858,92,923,69,1608,894,19.8,50.4,11525
1.6,1013,-200,8.1,905,-200,816,-200,1201,923,11,58.8,0.7705
1.9,1222,-200,7.5,880,269,684,173,1083,1367,9.4,44.7,0.5279
0.8,983,-200,6.8,846,291,871,148,996,1055,10.3,34.2,0.4291
0.4,988,-200,6.8,850,333,861,149,1030,1133,4.5,54.8,0.466
1.5,1025,-200,5.6,795,259,783,155,967,881,8.9,37.9,0.4318
-200,704,-200,0.5,444,-200,1558,-200,1050,394,14.4,57.6,0.9416
2.5,1198,-200,7.9,897,402,720,151,1072,1436,7.8,54.6,0.5786
2.9,1315,-200,18.7,1261,341,535,88,1830,1554,22.3,60.6,16069
1.1,1024,-200,4,709,142,798,109,1120,884,9.8,61.2,0.7413
1.7,1014,-200,9.5,958,117,878,102,1684,767,30.9,30.3,13306
4.7,1310,-200,27.5,1492,427,527,142,2194,1686,19.9,46.5,1071
-200,951,-200,6.5,835,-200,788,-200,1354,887,14.1,76.7,12273
2.6,1263,-200,14.8,1143,-200,578,-200,1736,1310,26.6,49.3,16872
1.3,906,-200,6.6,838,117,1084,88,1547,694,23.7,36.8,10609
5.6,1375,-200,18.3,1247,583,531,221,1650,1375,18.3,52.8,11016
5.8,1496,-200,25.7,1447,715,435,188,1710,1796,8.3,75,0.8253
-200,1297,-200,17.8,1233,-200,544,-200,2129,1248,27.1,54.4,19206
1.9,1114,-200,7.3,872,197,857,98,1310,991,16.8,58.7,11109
0.3,777,-200,2.4,609,-200,1170,-200,1405,644,21.7,47.3,12135
1.7,-200,-200,-200,-200,178,-200,134,-200,-200,-200,-200,-200
3.2,1202,-200,13,1083,629,1376,143,1410,1340,11,74.4,0.9736
4.7,1237,-200,16.5,1194,-200,615,-200,1508,1193,8.8,76.6,0.8678
-200,1066,-200,7.5,880,313,784,181,946,1240,7,39.9,0.4006
1.2,915,-200,5.3,776,86,1029,72,1544,616,25.5,38.3,12328
2,1138,-200,9.7,967,317,695,104,1332,1195,15.6,56.2,0.9876
2.4,925,-200,8.6,923,442,841,162,1115,944,11.1,38.1,0.5023
0.7,852,-200,4,713,92,1029,53,1203,749,15.2,58.3,0.9986
0.8,798,-200,2.5,621,109,1115,62,1041,524,10.6,61.3,0.7856
-200,1177,-200,14.8,1142,133,601,134,1868,1226,27.6,40.5,14715
2,1125,-200,11.6,1035,122,728,109,1726,1150,26.7,35.8,12318
2.5,1152,-200,9.5,959,373,689,114,1232,1231,9.3,64.5,0.7554
1.2,1019,-200,6.3,825,229,781,138,994,901,14.5,28.3,0.4665
1.9,1126,-200,9.5,957,122,694,71,1841,1034,29.4,53.1,21362
2.8,1143,-200,15.9,1176,312,677,148,1551,1108,27.7,25.1,0.9158
4.1,1165,-200,11.3,1024,759,646,310,1134,1365,4.1,52.7,0.4345
5.8,1521,-200,26.6,1470,960,456,149,1857,1727,10.6,72.7,0.9272
6.5,-200,-200,-200,-200,1061,-200,284,-200,-200,-200,-200,-200
0.7,992,-200,7.2,867,256,876,133,997,1196,6.1,45.2,0.4295
4.9,1529,-200,29,1526,300,476,149,2559,1763,27.4,45.5,16396
