Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
17/06/2004,08.00.00,4.8,1335,-200,27.7,1496,300,562,125,2385,1598,21.9,49.9,12957
20/06/2004,19.00.00,2.5,-200,-200,-200,-200,96,-200,105,-200,-200,-200,-200,-200
06/11/2004,03.00.00,1.5,1011,-200,7,856,-200,769,-200,1341,889,15.4,72.8,12633
07/06/2004,20.00.00,2.5,1029,-200,13.4,1097,155,825,125,1827,980,27,36.7,12898
09/10/2004,12.00.00,3.1,1472,-200,18.2,1246,306,512,87,1873,1455,28.1,45.3,16957
13/11/2004,06.00.00,1,938,-200,3.8,702,147,904,75,1185,753,15.2,61.8,10602
13/12/2004,02.00.00,1.8,995,-200,5.9,807,213,978,90,1056,1044,6.7,64.6,0.6381
05/07/2004,02.00.00,0.4,839,-200,3,652,34,1075,49,1405,671,22.5,43.2,11589
25/07/2004,15.00.00,0.8,891,-200,3.1,655,43,1107,52,1452,486,31.5,34.5,15666
19/08/2004,03.00.00,0.4,834,-200,1.8,565,-200,1187,-200,1444,473,28.8,49,19112
14/08/2004,17.00.00,0.7,896,-200,3.6,687,33,1006,46,1438,493,36.9,27.1,16683
07/09/2004,18.00.00,3.3,1120,-200,16,1181,-200,653,-200,1604,1028,31.1,21,0.9337
08/01/2005,10.00.00,3,1219,-200,11.3,1026,462,604,133,1311,1329,8.9,66.7,0.7634
01/02/2005,05.00.00,0.9,1042,-200,3.8,701,208,795,114,945,1216,1.8,68.9,0.4878
29/11/2004,06.00.00,1.4,1018,-200,5.7,800,225,821,78,1185,956,8.7,84.2,0.9526
04/11/2004,15.00.00,-200,1463,-200,24.5,1417,512,467,156,1900,1651,26.8,43.3,14977
19/07/2004,05.00.00,0.3,925,-200,4.1,717,75,936,75,1455,970,21.2,46.3,11501
10/07/2004,02.00.00,1,940,-200,6.7,845,57,845,70,1539,704,21.6,51.9,13254
23/07/2004,09.00.00,3.5,1335,-200,21.6,1340,236,519,133,2141,1651,29,37.6,14866
09/09/2004,20.00.00,3.6,1299,-200,16.6,1197,407,763,165,1688,1606,29.3,30.7,1229
15/12/2004,14.00.00,4.3,-200,-200,-200,-200,861,-200,181,-200,-200,-200,-200,-200
11/11/2004,09.00.00,6.8,1578,-200,32.3,1605,1247,429,211,2032,1643,9.9,83.4,10194
15/08/2004,11.00.00,1.2,954,-200,6.3,826,56,870,70,1531,691,35.8,25.7,14861
22/01/2005,21.00.00,2.7,1316,-200,21.1,1327,794,549,224,1328,1613,9.7,31.9,0.3848
05/10/2004,06.00.00,-200,990,-200,7.8,889,-200,763,-200,1450,952,17.4,69.7,13714
15/10/2004,06.00.00,-200,1095,-200,10,977,-200,725,-200,1562,998,14.6,82.9,13706
18/08/2004,04.00.00,-200,875,-200,4.1,714,-200,903,-200,1379,746,22.5,46.7,1261
29/01/2005,03.00.00,0.6,790,-200,0.6,455,-200,1376,-200,751,336,1.6,52.9,0.3692
19/10/2004,18.00.00,-200,1428,-200,23.6,1393,-200,490,-200,1976,1608,21.2,61.7,15309
18/02/2005,05.00.00,0.4,872,-200,0.8,476,36,1249,35,794,350,6.9,48.1,0.4796
31/08/2004,10.00.00,-200,1180,-200,15.3,1157,-200,568,-200,1874,1202,29.8,38.8,16029
30/01/2005,18.00.00,1.1,845,-200,2,582,174,1120,123,719,473,6.3,28.8,0.2772
15/06/2004,03.00.00,0.4,732,-200,1,503,-200,1525,-200,1321,441,21,47.1,11546
13/09/2004,01.00.00,-200,934,-200,4.6,744,-200,970,-200,1473,870,22.8,63.3,17355
13/07/2004,03.00.00,0.4,723,-200,1.5,544,-200,1274,-200,1315,584,18.8,51.1,1.1
19/07/2004,06.00.00,0.8,1044,-200,8.3,912,111,758,89,1604,1177,21.4,46.5,1172
11/10/2004,21.00.00,1.9,1052,-200,10.3,987,224,700,62,1556,1102,20,63.3,14672
13/09/2004,10.00.00,3.1,1372,-200,18.4,1251,475,609,138,1890,1588,25.4,53,16963
04/02/2005,10.00.00,3.1,1308,-200,16.3,1189,566,534,274,1325,1656,7.7,49.8,0.5267
29/12/2004,05.00.00,-200,885,-200,1.4,534,-200,1144,-200,1036,529,9.1,73.9,0.8576
11/01/2005,18.00.00,3.9,1419,-200,19.3,1277,495,459,144,1603,1631,13.3,61.2,0.933
19/10/2004,17.00.00,-200,1401,-200,21.1,1326,-200,530,-200,1887,1629,21.3,60.8,15205
22/06/2004,16.00.00,2.2,1076,-200,13.6,1105,169,762,120,1782,959,33.5,22.9,11649
24/11/2004,08.00.00,3.8,1414,-200,18.7,1261,717,532,114,1644,1479,9.8,80.5,0.9724
12/01/2005,22.00.00,3.6,1333,-200,15.2,1154,550,534,158,1441,1647,10.7,70.9,0.9113
11/07/2004,13.00.00,0.4,804,-200,2.8,636,21,1185,36,1321,424,31.8,22.3,10366
13/02/2005,22.00.00,1.3,1111,-200,5.3,777,228,760,143,1137,1024,12.5,47.8,0.6877
03/10/2004,22.00.00,-200,1092,-200,8.3,911,-200,735,-200,1506,1052,22,59.8,1562
26/12/2004,08.00.00,0.6,945,-200,1.8,569,136,1140,90,1135,632,10.5,81.8,10416
01/08/2004,13.00.00,0.5,857,-200,3.5,685,24,1055,33,1331,451,39.2,20.2,14104
17/01/2005,14.00.00,3.1,1170,-200,14.7,1138,504,611,177,1233,1503,11.1,32.6,0.4292
10/09/2004,23.00.00,1.7,1083,-200,9.3,951,223,880,131,1393,1054,25.1,35.7,11222
20/10/2004,19.00.00,6.8,1759,-200,35.9,1684,648,373,134,2378,1923,23,65.9,18319
10/11/2004,14.00.00,2.7,1055,-200,10.8,1007,457,736,145,1301,1019,10.5,62.2,0.7923
11/01/2005,09.00.00,5.1,1526,-200,26.5,1466,662,415,147,1855,1687,12.5,65.1,0.9399
13/10/2004,11.00.00,-200,948,-200,6.9,853,-200,859,-200,1283,839,17.4,47.6,0.9387
03/01/2005,03.00.00,2.7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
15/02/2005,02.00.00,0.6,814,-200,1.3,526,59,1228,56,740,352,8,32.9,0.353
18/11/2004,17.00.00,3.9,1316,-200,17.6,1228,484,540,174,1610,1413,17.6,53.1,10596
10/01/2005,08.00.00,2.6,1523,-200,21,1324,620,451,137,1776,1502,12.8,71.8,10551
01/02/2005,07.00.00,1.6,1147,-200,7.7,886,417,702,149,1056,1381,2.2,65.3,0.473
19/07/2004,03.00.00,-200,854,-200,2.3,604,-200,1090,-200,1317,625,23.7,38.6,11159
18/09/2004,17.00.00,1.5,979,-200,6.5,835,204,936,100,1338,700,28.4,28.3,10798
20/09/2004,11.00.00,3.7,1262,-200,18.6,1258,425,597,174,1835,1484,29.9,34,14096
24/12/2004,18.00.00,6.7,1514,-200,21.5,1338,668,474,175,1598,2018,10.2,58.3,0.7256
10/09/2004,11.00.00,2.5,1135,-200,15.7,1170,429,867,144,1523,1189,32.8,18.9,0.9234
23/09/2004,17.00.00,4.6,1446,-200,25.2,1434,442,522,190,2075,1619,31.6,34.8,15925
28/12/2004,11.00.00,-200,1092,-200,9.2,946,-200,691,-200,1234,1043,12.7,56.7,0.8304
19/09/2004,08.00.00,1.3,969,-200,7.7,886,179,863,68,1451,953,18.6,60,12757
15/11/2004,06.00.00,0.4,704,-200,0.8,478,55,1498,41,821,348,10.4,37.4,0.4717
17/12/2004,20.00.00,3.3,1325,-200,16.4,1191,403,564,130,1542,1389,13.3,68,10376
20/11/2004,09.00.00,2.8,1086,-200,15.3,1157,573,674,214,1237,1330,7.2,43.2,0.4417
27/01/2005,03.00.00,-200,791,-200,0.8,480,-200,1259,-200,738,422,4.5,39.7,0.3379
08/09/2004,23.00.00,2,1100,-200,10.6,999,251,984,131,1361,1145,25.4,30.5,0.9722
14/07/2004,18.00.00,4,1109,-200,22.9,1374,263,676,172,1795,1225,35.8,13.7,0.7868
29/06/2004,12.00.00,2.8,1251,-200,15.2,1154,184,682,148,1955,1111,35.5,27.4,15635
24/10/2004,07.00.00,1.5,1037,-200,8.1,902,196,704,48,1481,984,17.5,76.6,15174
30/01/2005,21.00.00,1.7,927,-200,4.1,715,247,965,164,797,711,4.6,33.8,0.2898
08/08/2004,10.00.00,1,935,-200,4.2,724,43,936,49,1574,598,29.5,45.9,18662
27/08/2004,10.00.00,2.2,-200,-200,-200,-200,147,-200,99,-200,-200,-200,-200,-200
11/02/2005,05.00.00,1.5,-200,-200,-200,-200,98,-200,87,-200,-200,-200,-200,-200
10/12/2004,18.00.00,4,1073,-200,16.5,1195,575,675,177,1249,1244,14.6,23.7,0.3903
07/02/2005,10.00.00,2.1,1102,-200,7.9,896,346,720,222,969,1226,7.5,33.8,0.352
24/09/2004,00.00.00,1,969,-200,6.5,835,97,859,64,1437,773,22.7,53.7,1458
16/08/2004,15.00.00,0.8,825,-200,3.8,702,53,1077,57,1267,458,38.4,16.4,10957
28/12/2004,14.00.00,-200,1199,-200,14.6,1138,-200,581,-200,1452,1203,14.4,49.2,0.8027
09/12/2004,08.00.00,1.9,1091,-200,7.6,882,358,844,114,1288,931,15,55.3,0.9338
08/11/2004,22.00.00,-200,943,-200,8,900,-200,816,-200,1129,1064,8.5,59.7,0.6649
22/01/2005,04.00.00,0.5,1297,-200,11.5,1032,388,605,126,1297,1300,7,77.8,0.7848
01/12/2004,05.00.00,0.6,844,-200,2.5,618,100,2095,63,1064,757,8.3,80.4,0.8861
27/02/2005,18.00.00,1.2,905,-200,2.9,648,188,1007,132,822,509,6.8,41,0.4072
06/01/2005,14.00.00,1.7,1096,-200,6.2,819,243,733,127,1238,904,16.5,50.8,0.9442
28/08/2004,03.00.00,0.6,835,-200,3.8,699,-200,912,-200,1361,796,19.8,59.3,13505
11/10/2004,20.00.00,3.2,1206,-200,16.2,1185,376,592,76,1751,1386,19.7,65.1,14769
10/11/2004,20.00.00,4.6,1277,-200,21.4,1335,586,551,182,1636,1331,10,71.5,0.8768
14/12/2004,09.00.00,4.4,1406,-200,27.2,1483,581,478,139,1767,1708,7.6,70.6,0.7371
15/10/2004,16.00.00,-200,1312,-200,23.1,1381,-200,540,-200,1881,1402,21.5,44.5,1129
24/02/2005,20.00.00,3.9,1367,-200,17.5,1225,551,485,265,1492,1628,6.3,74.9,0.7187
18/02/2005,20.00.00,4.8,1288,-200,17.6,1228,632,549,250,1333,1502,8.3,40.3,0.4411
16/12/2004,14.00.00,5.5,-200,-200,-200,-200,1018,-200,212,-200,-200,-200,-200,-200
20/07/2004,21.00.00,-200,1163,-200,11.2,1022,95,695,102,1644,1141,30.9,29,1275
10/07/2004,18.00.00,0.8,859,-200,5.8,803,50,1032,67,1363,479,30.3,21.4,0.9064
02/02/2005,06.00.00,2.2,1069,-200,4.5,737,257,792,125,946,1114,2.6,67.5,0.5034
24/12/2004,12.00.00,6,1419,-200,18.5,1254,670,524,167,1406,1950,8,55.9,0.6018
03/11/2004,16.00.00,2.7,1240,-200,15.1,1152,352,575,94,1699,1278,25.6,46.2,14903
18/07/2004,06.00.00,0.7,935,-200,4.1,716,50,915,62,1415,877,20.2,48.5,11319
18/08/2004,03.00.00,-200,902,-200,4.4,735,-200,890,-200,1410,781,23,46.2,12783
02/06/2004,07.00.00,-200,890,-200,3.9,703,48,1145,33,1601,751,19.7,65.3,14843
24/10/2004,09.00.00,1.4,1080,-200,7.8,891,175,732,59,1477,1001,19.1,70,15366
23/09/2004,22.00.00,2.1,1111,-200,10.3,991,218,721,109,1559,1028,24.1,50.7,14959
28/10/2004,16.00.00,5,1521,-200,26.6,1470,677,446,139,1977,1720,21.3,61.9,15463
28/07/2004,17.00.00,-200,1070,-200,17.3,1218,182,704,166,1697,1108,34.4,16.4,0.8761
16/06/2004,05.00.00,0.5,810,-200,2.4,612,27,1163,34,1462,595,21.3,54.5,13682
26/08/2004,11.00.00,1.4,-200,-200,-200,-200,83,-200,71,-200,-200,-200,-200,-200
27/12/2004,17.00.00,2.2,1138,-200,6.9,854,262,735,117,1276,911,13.3,68.2,10356
18/09/2004,05.00.00,0.5,775,-200,2.3,609,58,1319,42,1190,468,20.2,46.7,10899
22/12/2004,22.00.00,3.3,1121,-200,11.2,1023,504,725,169,1053,1354,4.8,45.1,0.3925
03/10/2004,16.00.00,-200,1133,-200,6.2,823,-200,775,-200,1449,777,26.9,44.4,1551
02/01/2005,17.00.00,2.6,1246,-200,8.9,936,438,665,164,1182,1460,9.9,53.3,0.6504
27/07/2004,07.00.00,-200,1086,-200,9.2,947,181,724,115,1724,1134,24.7,46.8,14337
