@relation 'teste 06-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
2.7,1235,159,9.6,963,166,803,103,1680,1095,13.1,80.1,12016
3.2,1326,-200,14.6,1137,225,719,115,1760,1550,20.3,38.1,0.8946
3.5,1248,-200,16.6,1197,892,641,202,1405,1395,10.1,45.6,0.5632
2.2,1069,-200,4.5,737,257,792,125,946,1114,2.6,67.5,0.5034
2.9,1126,-200,7.3,869,-200,680,-200,1075,1222,3.4,66.7,0.5281
1,844,-200,3.5,680,122,1147,61,1129,518,22,32.2,0.8407
1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276
2.7,1248,-200,11.9,1046,357,588,144,1404,1316,13.4,65.3,0.9967
1,865,-200,1.7,561,103,1102,83,791,434,2.9,49,0.3725
1.4,1203,-200,7.3,870,274,641,156,1103,1427,4.6,67.6,0.5778
4,1025,-200,16.7,1202,515,691,194,1263,1191,12.7,28.9,0.4233
4.3,1482,-200,20.3,1305,472,503,128,1874,1464,22.9,57.6,15885
3.5,1383,-200,17.3,1218,758,497,196,1506,1738,13,60.9,0.9061
5.6,1603,-200,24.5,1417,808,459,136,1871,1621,14.2,75.8,12202
-200,973,-200,4.9,761,49,954,55,1501,815,18,57.6,11788
2.4,1200,-200,8.7,929,288,664,132,1082,1847,4.2,63.1,0.5259
0.8,939,-200,1.8,568,101,1037,72,1054,656,12.4,62.6,0.8994
1.3,931,64,4.5,739,83,1274,74,1219,474,20.2,24.1,0.563
1.1,879,-200,2.8,642,140,1027,101,836,545,2.5,51,0.3778
3.2,1285,-200,18.4,1252,364,581,134,1866,1293,26.6,44.3,15229
6.7,1747,-200,37.1,1709,515,399,128,2370,1876,24,50.6,14892
