Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
06/01/2005,17.00.00,1.9,1173,-200,7.7,885,274,685,134,1288,1038,15.6,54.8,0.966
10/02/2005,05.00.00,1.5,-200,-200,-200,-200,102,-200,88,-200,-200,-200,-200,-200
03/12/2004,18.00.00,5.1,1482,-200,24,1404,634,463,134,1883,1657,16.5,71.7,13358
09/04/2004,19.00.00,3.4,-200,303,-200,-200,197,-200,137,-200,-200,-200,-200,-200
20/11/2004,03.00.00,2.4,698,-200,2.4,614,-200,1286,-200,718,591,10.4,19.2,0.242
15/01/2005,17.00.00,3,1279,-200,15.2,1154,515,573,179,1391,1544,10.5,55.1,0.6993
15/01/2005,03.00.00,1.6,979,-200,5.1,767,-200,827,-200,1041,908,3.3,82.6,0.645
07/10/2004,09.00.00,-200,1479,-200,22.2,1357,-200,491,-200,1937,1581,22.5,57,15314
31/03/2004,09.00.00,2.2,1262,216,8.6,924,181,872,125,1576,1093,10.4,74.4,0.9384
24/04/2004,15.00.00,1.7,1223,192,9,938,91,884,89,1610,880,25.6,36,11629
20/05/2004,10.00.00,2.2,1232,-200,12.4,1062,155,787,117,1707,1092,26.1,30,0.9972
20/11/2004,14.00.00,1.9,888,-200,10.9,1009,340,866,137,937,973,14.7,16.6,0.2756
05/02/2005,19.00.00,1.6,999,-200,6.2,821,263,846,174,915,926,6.4,36.8,0.3566
14/02/2005,02.00.00,1.1,1024,-200,4,709,142,798,109,1120,884,9.8,61.2,0.7413
11/12/2004,17.00.00,2.5,1042,-200,11.5,1031,369,756,131,1094,1084,16.1,23.4,0.4248
04/01/2005,03.00.00,0.8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
21/12/2004,16.00.00,2.3,959,-200,8.6,924,316,899,137,993,897,8.8,35.7,0.4043
27/04/2004,07.00.00,4.1,1518,584,23.4,1389,314,589,122,2101,1703,15.9,48.5,0.8704
21/09/2004,12.00.00,3.3,1266,-200,17.7,1231,374,615,157,1768,1265,30.1,35.1,14782
07/10/2004,04.00.00,-200,924,-200,2.9,643,-200,948,-200,1329,825,19.9,66.1,15198
07/04/2004,15.00.00,1.9,1177,117,7.5,880,146,927,104,1552,776,10.9,76.4,0.9953
25/09/2004,04.00.00,0.3,724,-200,1,495,42,1531,27,1071,391,15.3,53.1,0.9181
26/10/2004,16.00.00,5.8,1669,-200,32.8,1615,760,404,166,2232,1963,24,55,16211
15/12/2004,19.00.00,3.6,-200,-200,-200,-200,484,-200,137,-200,-200,-200,-200,-200
26/10/2004,18.00.00,9.5,1908,-200,52.1,2007,952,325,180,2775,2372,22.5,61.5,16579
24/05/2004,20.00.00,1.2,895,-200,6.7,845,102,1072,96,1241,763,19.1,22.8,0.501
18/02/2005,21.00.00,2.8,1153,-200,10.1,981,424,666,202,1097,1273,8,41.3,0.4448
27/04/2004,21.00.00,2.5,1153,279,12.5,1066,135,811,122,1651,1194,19.9,37.8,0.8675
03/10/2004,04.00.00,-200,929,-200,3.9,703,-200,908,-200,1391,761,20.2,64.4,15035
