@relation treino-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
0.3,922,-200,4.7,750,46,1085,45,1585,685,18.6,75.7,16074
-200,830,-200,2.9,644,17,1235,23,1487,524,19.6,68.4,15443
-200,805,-200,2,583,18,1339,26,1494,527,18,76.4,15608
-200,760,-200,1.1,505,-200,1527,-200,1413,452,17.3,77.2,15104
-200,783,-200,1.3,529,16,1437,24,1435,466,16.5,82.3,15318
0.1,854,-200,2.4,613,39,1272,41,1515,565,16.8,81.3,15452
0.3,985,-200,6.1,816,107,987,65,1677,799,17.3,78.6,15412
1.4,1225,-200,12.5,1067,190,760,94,1922,1102,16.9,80.9,15472
2.7,1313,-200,19.5,1283,236,671,100,2180,1299,17.1,79.8,1542
2.3,1199,-200,15.2,1156,227,758,103,1958,1272,18.5,70.3,14826
1.8,1182,-200,12,1051,211,829,89,1870,1206,19.6,66.7,15023
1.6,1173,-200,12.4,1063,201,814,86,1905,1218,20.4,63.1,14969
1.9,1259,-200,15.9,1178,191,722,89,2060,1367,21.6,61.8,15775
2.5,1263,-200,15.7,1171,192,759,88,2029,1290,24,49.3,14509
1.6,1156,-200,13.5,1100,143,800,73,1884,1175,25.7,43.8,14262
1.5,1167,-200,12.4,1065,148,808,78,1886,1139,24.6,47.5,14487
2.5,1278,-200,17.1,1213,183,733,95,2041,1293,24.8,47.4,14628
3.6,1342,-200,22,1351,216,657,109,2201,1419,23.7,50.5,14636
3.5,1353,-200,19.9,1292,184,683,95,2178,1326,23,53.8,14968
4.8,1501,-200,27.9,1501,248,588,101,2486,1517,21.5,65.8,16688
3.7,1355,-200,19.7,1289,221,678,88,2158,1391,21,66.9,16436
2.1,1230,-200,15.7,1169,159,737,77,2020,1275,20.6,68.1,16329
1.6,1148,-200,12,1048,136,822,75,1883,1168,20.5,66.9,15914
2.2,1171,-200,13.1,1088,168,822,81,1889,1132,20.2,65.2,15251
0.8,1021,-200,9.2,949,95,927,57,1764,977,19.5,68,15269
-200,964,-200,7.5,877,70,958,49,1692,942,19.9,66.4,15203
-200,887,-200,4.9,758,43,1094,38,1622,804,19.1,69,15043
-200,885,-200,5.2,773,-200,1051,-200,1641,805,18.5,70.7,14962
-200,830,-200,3.2,662,30,1217,31,1556,704,18.9,67.8,14689
-200,792,-200,2.4,611,22,1280,23,1529,657,20,63.7,14742
-200,813,-200,2.8,639,25,1267,22,1538,655,19.8,64.7,14769
-200,890,-200,3.9,703,48,1145,33,1601,751,19.7,65.3,14843
-200,984,-200,6.9,854,73,964,43,1751,885,20.8,62,15002
-200,1043,-200,8.5,920,95,925,53,1777,955,22.2,56.6,14973
-200,1054,-200,8.9,936,86,915,54,1791,962,24.3,49,14724
-200,1063,-200,8.8,930,102,925,62,1749,957,25,46.5,14492
-200,978,-200,7.4,873,80,1003,53,1669,788,28.9,34.8,13603
-200,887,-200,4.7,748,36,1141,34,1560,596,29.6,33.4,13581
-200,887,-200,4.8,754,32,1164,30,1523,560,30.9,30.7,13493
-200,977,-200,6.8,850,46,1035,37,1645,701,31.8,31,14286
-200,1043,-200,8.9,934,61,929,47,1707,811,31.4,31.2,14127
-200,1010,-200,8.1,902,59,966,44,1676,724,28.9,35.7,13985
-200,1094,-200,10.5,996,76,876,53,1807,864,27.2,42.5,15135
-200,1223,-200,14.8,1142,145,778,88,1965,1084,26.2,46.4,15573
-200,1109,-200,11.8,1042,140,834,95,1888,998,24.5,51,15454
-200,1026,-200,8.7,927,102,915,82,1781,878,22.8,56.1,15353
-200,1036,-200,8.7,928,89,914,59,1787,909,21.9,60.9,15799
-200,963,-200,6.9,853,62,995,43,1732,789,21.7,61,15617
-200,996,-200,7.3,868,69,957,51,1741,857,20.8,64.8,1568
-200,999,-200,6.9,853,63,951,49,1756,885,20.3,70.9,16699
-200,893,-200,4.6,741,31,1056,36,1664,743,18.9,79,1704
-200,730,-200,1.3,530,-200,1517,-200,1362,445,18.1,64.6,13276
-200,753,-200,1.7,562,17,1420,24,1414,454,18.6,64.5,13655
-200,825,-200,3.2,663,61,1203,58,1504,610,17.6,67.4,1346
-200,1012,-200,10.1,982,184,882,73,1796,1024,17.6,67.6,13479
-200,1221,-200,19.9,1293,248,688,74,2144,1316,19,61.7,13393
-200,1215,-200,20.2,1303,220,694,97,2180,1358,20,57.4,13268
-200,1234,-200,20.8,1318,243,714,108,2108,2202,22.6,45.9,12418
-200,1138,-200,15.1,1152,164,798,93,1877,1947,27.3,34.3,12284
-200,987,-200,10.9,1009,-200,914,-200,1697,1227,27.4,31,11184
-200,980,-200,11.1,1019,-200,921,-200,1720,950,26.2,33.6,11244
-200,966,-200,12.1,1054,-200,885,-200,1742,917,26.8,32.4,11263
-200,905,-200,8.6,923,-200,1025,-200,1582,707,28.7,27.7,1071
-200,903,-200,9.7,968,-200,992,-200,1565,740,28.7,25,0.9684
-200,914,-200,11,1014,-200,988,-200,1597,775,29.1,22.3,0.8811
-200,1050,-200,16.6,1199,-200,849,-200,1781,1035,29,24.5,0.9655
-200,1043,-200,14.7,1139,-200,876,-200,1756,1001,27.2,28.3,10016
-200,1125,-200,19.5,1283,-200,792,-200,1899,1101,25.3,30,0.952
-200,1058,-200,14.5,1134,-200,855,-200,1797,1034,24.1,34.8,10333
-200,951,-200,7.8,892,-200,1015,-200,1611,786,23,43.1,11993
-200,944,-200,7.8,891,-200,1016,-200,1593,844,22.1,43.9,11521
-200,959,-200,7.8,892,-200,996,-200,1616,866,21,48.1,1178
-200,974,-200,8.5,919,-200,976,-200,1638,909,20.6,49.2,11754
-200,880,-200,5.7,799,-200,1097,-200,1533,724,21.2,47.6,11799
-200,853,-200,4.5,740,-200,1146,-200,1526,715,21,50.1,12338
-200,912,-200,5.6,795,-200,1042,-200,1564,827,20.1,53.1,12342
-200,863,-200,4.6,745,-200,1098,-200,1496,786,19,54,11745
-200,729,-200,1.2,520,-200,1570,-200,1318,445,19.2,51.1,1124
-200,830,-200,3.4,674,-200,1246,-200,1459,607,19.2,53.1,11662
-200,1198,-200,17,1209,-200,779,-200,2058,1213,20.6,49,11748
-200,971,-200,10,977,-200,921,-200,1667,910,21.8,41.9,1077
-200,885,-200,6,812,-200,1100,-200,1495,675,22.8,37.6,10315
-200,862,-200,5.7,798,-200,1148,-200,1456,582,24.8,31.3,0.9646
-200,892,-200,6.9,853,-200,1080,-200,1509,666,26,29.4,0.976
-200,933,-200,9.5,960,-200,994,-200,1577,726,27,27.8,0.9731
-200,975,-200,11.1,1017,-200,930,-200,1668,801,27,29.3,10277
-200,927,-200,8.1,905,-200,1016,-200,1554,711,27,29.6,10419
-200,993,-200,10.2,985,-200,950,-200,1680,790,25.8,32.6,1072
2.7,1053,-200,13.3,1093,-200,873,-200,1749,924,26.2,32.6,10892
3.6,1116,-200,16.6,1198,-200,811,-200,1863,1045,28.3,27.5,10418
3.3,1097,-200,16.9,1206,-200,813,-200,1867,1088,26.5,29.7,10123
3.6,1116,-200,17.5,1226,-200,792,-200,1938,1038,25.7,31.8,10317
2.9,1057,-200,13.1,1087,-200,871,-200,1769,981,24.4,35.2,10632
1.9,973,-200,9.2,949,-200,987,-200,1615,820,23.5,36.9,10518
2,1016,-200,10,977,-200,951,-200,1652,948,22.4,41,11006
2.9,1120,-200,13.1,1088,-200,849,-200,1785,1067,21.7,44.7,11451
2.7,1076,-200,12.9,1080,-200,846,-200,1787,1070,21.1,48.1,11864
1.5,937,-200,7.8,890,-200,970,-200,1625,877,20.7,50,1203
1.6,980,-200,9.2,948,-200,888,-200,1702,1028,19.8,53.1,12093
1.3,937,-200,6.9,853,-200,962,-200,1604,969,19.8,53.6,12214
0.7,852,-200,4.5,739,37,1095,63,1525,837,19.6,54.8,1236
0.7,858,-200,4.9,757,57,1066,71,1542,904,19.3,57.3,1265
1.2,963,-200,7.9,894,131,942,91,1702,1065,19.7,58.4,13254
1.5,966,-200,7.4,874,171,969,95,1682,999,19.8,59.4,13554
1.5,983,-200,8,901,187,954,96,1691,986,20.9,54.8,13387
1.6,990,-200,7.6,881,133,985,81,1685,874,22.4,47.9,12817
1.1,891,-200,5.3,780,87,1110,68,1543,689,24.1,41.3,12202
1.1,883,-200,5.3,778,61,1130,57,1545,608,25.9,36.9,12133
1.4,914,-200,8,900,86,1010,68,1596,706,30.7,26,11287
1.4,896,-200,8.4,917,83,1017,72,1577,704,30.3,25.2,10652
1,841,-200,6,811,61,1135,62,1463,609,30.1,25.4,10641
1.3,926,-200,7.3,868,80,1048,75,1599,687,27.6,35.1,12764
1.9,1133,-200,10.2,984,110,838,92,1897,976,26.6,47.6,16315
1.7,1042,-200,9,939,108,917,89,1744,860,30.4,31.3,13331
2.3,1124,-200,14,1118,134,793,105,1915,1021,27.8,35,1282
2.4,1157,-200,16.1,1183,133,738,111,1970,1079,26.6,37.9,12994
1.8,989,-200,8.2,906,118,954,102,1681,826,23.4,44.4,12646
0.6,841,-200,3.8,699,17,1123,30,1508,558,23,51.1,14175
0.8,916,-200,5.6,791,26,1007,43,1588,679,22.1,53.5,14087
1.7,1008,-200,8,900,55,907,67,1681,850,21.6,53.6,13674
1.1,895,-200,5.6,792,39,975,58,1574,733,21.9,52.7,1365
0.6,810,-200,3.8,702,15,1093,24,1529,612,21.3,54.9,13707
1.1,968,-200,6.6,840,47,891,58,1727,788,17.5,79.1,15709
1.1,922,-200,7,859,-200,871,-200,1739,728,17.6,78.6,15722
1,892,-200,5.2,773,49,926,62,1660,724,17.1,81.8,15816
0.5,806,-200,2.4,615,21,1172,34,1525,543,16.6,80.2,15002
0.7,827,-200,3.1,659,33,1115,46,1552,616,16.8,77.4,14739
1,881,-200,5.2,776,63,1037,62,1623,677,18.3,66.5,1381
1.2,877,-200,5.9,808,73,1011,70,1614,723,20.4,55.8,13196
0.7,784,-200,2.8,638,51,1314,54,1412,529,21.6,45.3,11533
0.9,806,-200,3.4,675,61,1270,61,1414,528,23.1,39.4,10983
0.8,775,-200,3,653,52,1349,53,1365,491,25.4,31.6,10058
0.8,773,-200,3.4,676,49,1331,49,1374,489,26.6,29,0.9928
0.5,734,-200,2.3,603,40,1471,48,1303,450,25.9,28.8,0.9475
0.5,757,-200,2.7,635,36,1445,45,1345,451,27,28,0.981
0.7,817,-200,3.6,688,51,1299,60,1435,512,23.6,38.1,10917
0.9,815,-200,4.2,720,56,1225,59,1418,525,25.9,32,10529
1,844,-200,4.9,757,71,1186,67,1445,556,26.3,31.5,10643
1.2,880,-200,5.9,807,79,1123,72,1510,599,23.9,36.8,10774
1.3,906,-200,6.6,838,117,1084,88,1547,694,23.7,36.8,10609
1.6,904,-200,7.6,882,127,1048,94,1549,744,22.5,37.8,10157
1.4,877,-200,7,858,118,1080,89,1535,724,21.8,39.2,10115
1.7,918,-200,7.5,879,130,1030,96,1569,804,20.9,42.6,1.04
