@relation 'teste 08-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.5,997,-200,7.5,879,181,885,109,1404,887,23.5,40.6,11588
2.7,1244,-200,15.4,1162,162,765,123,1735,1189,30,20,0.8338
3.1,1170,-200,18.6,1257,185,693,180,1956,1069,35.6,23.4,1341
1.1,1049,-200,6.3,826,150,765,51,1521,917,22.2,65.2,17256
0.8,953,-200,4.4,734,94,861,61,1401,825,17.4,81,16012
1.4,906,-200,7.7,885,-200,872,-200,1304,912,13.5,59.4,0.9176
-200,976,-200,8.2,907,86,867,101,1546,719,35.4,23.8,13443
4.6,1607,660,19.8,1290,264,587,134,1960,1758,16.2,53.2,0.9723
2.6,1310,210,15.4,1160,153,695,94,1939,1224,21.4,50.9,12823
4.4,1460,682,25.3,1438,260,680,196,1953,1489,30,19.4,0.81
2.8,973,-200,14.4,1128,170,813,127,1642,894,32.9,15.5,0.7649
0.9,838,-200,3.5,685,119,1176,54,1121,465,23.4,27.1,0.7681
3.4,1278,-200,18.3,1248,375,574,99,1814,1243,23.2,52,14642
2.5,1039,-200,16,1180,184,833,127,1815,1047,33.7,21.3,10988
4.4,1481,-200,22.3,1359,486,467,105,1957,1518,21.7,69.7,17872
1.1,968,-200,6.6,840,47,891,58,1727,788,17.5,79.1,15709
1,841,-200,6,811,61,1135,62,1463,609,30.1,25.4,10641
1.8,1013,-200,10.6,999,120,791,105,1751,1119,24,47.3,13914
4.6,1533,-200,29.9,1549,226,573,140,2233,1571,24.4,31.6,0.9545
0.8,905,-200,5.2,776,163,851,48,1327,825,15.2,78,13382
-200,1480,-200,26.2,1460,357,494,189,2238,2028,29.4,33.6,13526
0.2,837,-200,2.7,634,41,1200,56,1150,669,15.5,32.2,0.5641
1.4,-200,-200,-200,-200,83,-200,71,-200,-200,-200,-200,-200
6.7,1432,-200,36.9,1706,702,488,204,2098,1842,24.7,27.9,0.8559
3,1307,-200,19.1,1270,240,516,84,2191,1404,22.5,74.9,2019
5.1,1589,-200,24.1,1407,932,556,203,1757,1972,15.8,57.9,10292
5.7,1479,-200,27.5,1490,737,494,159,2146,1749,23.5,49.7,14156
-200,1366,-200,10.5,997,-200,830,-200,1673,1041,18.5,48.9,10323
-200,709,-200,0.6,449,-200,1590,-200,1055,392,14.5,57.4,0.9413
0.3,833,-200,3.8,697,54,1361,64,1294,496,27.5,22.8,0.8249
1.8,998,-200,9.5,958,125,881,107,1657,778,31.5,28.7,13058
1.5,1016,-200,6.8,849,99,729,84,1609,872,26,48,15899
0.9,948,93,4,710,56,1127,67,1352,575,15.7,45.9,0.8121
0.4,859,-200,1.7,561,19,1162,28,1476,470,23.4,64.4,1835
1.2,827,-200,5.1,768,233,972,103,1040,671,13,40.1,0.5989
1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.8686
-200,1209,-200,12.9,1082,143,685,133,1662,978,38.3,19.4,12851
-200,1222,-200,13,1083,-200,729,-200,1624,1273,21.3,47.2,11825
0.8,833,-200,1.9,574,-200,1150,-200,930,752,7.9,55.4,0.593
0.7,838,45,2.2,601,33,1361,43,1220,434,14.2,45.5,0.7333
-200,726,-200,0.7,466,-200,1485,-200,1066,408,14.3,58.4,0.9501
1.2,972,-200,8.1,902,59,933,67,1647,878,24.9,41.2,12809
-200,1141,-200,12,1049,-200,675,-200,1530,1117,21,46.8,11508
1.6,1124,163,6.9,853,149,960,99,1531,873,10,68.7,0.8456
2.3,1379,-200,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.7829
4.1,1580,644,19.9,1295,230,639,115,1957,1489,13.2,61.1,0.9256
1.1,918,-200,5.3,779,65,896,89,1537,551,35.8,27.7,16041
