Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
21/06/2004,09.00.00,2.5,1024,-200,13.8,1111,201,770,110,1753,1069,25.1,32.4,1017
02/11/2004,13.00.00,5.1,1535,-200,31.2,1578,583,440,150,2125,1921,25.7,45.6,1487
13/09/2004,09.00.00,-200,1313,-200,17.7,1231,-200,626,-200,1889,1455,23,60.2,16652
12/03/2004,23.00.00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771
07/09/2004,01.00.00,0.8,888,-200,3,653,-200,973,-200,1272,497,24.2,43.8,13057
15/05/2004,12.00.00,1.7,1025,-200,9.4,955,111,997,94,1457,834,25.6,23.5,0.7611
23/04/2004,04.00.00,-200,844,-200,2.3,608,-200,1213,-200,1314,803,14.1,53.9,0.8633
19/09/2004,15.00.00,1.2,925,-200,5.1,768,119,987,70,1289,541,31.1,26.1,1163
24/08/2004,07.00.00,1.6,965,-200,10,977,149,725,94,1515,1014,20.6,45.5,10925
03/09/2004,15.00.00,-200,1104,-200,13.5,1102,-200,670,-200,1609,1480,37.6,19.6,12534
26/11/2004,08.00.00,4.3,1508,-200,23.1,1379,864,496,137,1767,1567,10,75,0.9179
22/03/2004,03.00.00,0.4,842,-200,0.7,468,-200,1813,-200,1274,394,16.9,53.9,10309
21/07/2004,08.00.00,-200,1526,-200,27.7,1495,286,471,140,2405,1904,25.8,42.2,13774
22/04/2004,01.00.00,-200,937,-200,4.6,741,-200,1058,-200,1420,923,16.2,53.4,0.9775
01/08/2004,14.00.00,0.6,824,-200,3.5,683,34,1119,42,1270,393,38.1,18.5,12141
16/05/2004,23.00.00,1.4,934,-200,5.6,795,88,1098,93,1328,673,20.3,28.5,0.6686
06/06/2004,05.00.00,0.5,806,-200,2.4,615,21,1172,34,1525,543,16.6,80.2,15002
29/11/2004,03.00.00,1.7,1032,-200,4.9,757,-200,837,-200,1182,1001,9.5,81.7,0.9693
21/05/2004,19.00.00,3.8,1325,-200,19.1,1273,211,716,145,1815,1184,25.9,24.9,0.8195
21/05/2004,16.00.00,2.3,1276,-200,13.5,1099,136,783,114,1680,925,32.5,18.6,0.8948
31/08/2004,13.00.00,-200,1120,-200,12.2,1058,-200,626,-200,1716,1049,31.4,31.8,1441
29/11/2004,09.00.00,5.9,1609,-200,29.5,1540,948,486,139,1961,1803,11.3,75.3,10048
08/11/2004,09.00.00,1.8,887,-200,5.9,809,322,899,133,1111,769,10.9,50,0.6531
26/05/2004,03.00.00,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
02/07/2004,09.00.00,2.9,1320,-200,17,1210,263,595,147,2052,1477,29.3,40,16082
01/11/2004,19.00.00,4.1,1291,-200,15.8,1174,465,567,91,1746,1341,21.7,67.3,17256
15/05/2004,02.00.00,1,935,-200,5.4,786,55,964,71,1389,954,17.4,43.4,0.8553
11/08/2004,18.00.00,1.4,1056,-200,7.6,883,64,799,63,1672,684,36.2,31.1,18371
